Cell	Overlap	Total	Ratio	Mean	STD	Z-score	Enrichment	P-val	 Null_Model	disease	BH_FDR5per	BH_corrected_pval	Bon_corrected_pval	neg_log_ten	BH_neg_log_ten	Bon_neg_log_ten
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	0	5	0.0	0.231768	0.46285	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Phosphorus levels	False	0.6886281588447654	1.0	0.3010299956639812	0.16201522243753047	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	1	14	0.0714286	1.37662	1.1068	-0.34028	0.726415	0.633177	Null_Model_GWAS_SNP_SNPmatch	Renal cell carcinoma	False	0.7919902475409836	1.0	0.19847486916423232	0.1012801662201189	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	3	11	0.272727	2.31069	1.22897	0.560883	1.29831	0.287439	Null_Model_GWAS_SNP_SNPmatch	High grade serous ovarian cancer	False	0.6886281588447654	1.0	0.5414543067108567	0.16201522243753047	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	0	6	0.0	0.552448	0.658405	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Brown vs  non brown hair color	False	0.6886281588447654	1.0	0.3010299956639812	0.16201522243753047	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	10	134	0.0746269	13.3197	3.39466	-0.977913	0.750769	0.835941	Null_Model_GWAS_SNP_SNPmatch	Spherical equivalent or myopia  age of diagnosis	False	0.9098758673323823	1.0	0.07782437361199905	0.04101785362377725	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	16	248	0.0645161	27.8442	4.60757	-2.57059	0.574627	0.994924	Null_Model_GWAS_SNP_SNPmatch	Intelligence	False	0.999999	1.0	0.0022100927630524505	4.34294699063126e-07	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	1	22	0.0454545	1.66234	1.21732	-0.544095	0.601562	0.706812	Null_Model_GWAS_SNP_SNPmatch	Fasting blood glucose  BMI interaction	False	0.8272067978723403	1.0	0.15069608580712016	0.0823859052628076	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	6	46	0.130435	5.81918	2.13688	0.0846182	1.03107	0.466282	Null_Model_GWAS_SNP_SNPmatch	BMI  adjusted for smoking behaviour	False	0.6886281588447654	1.0	0.33135134939980543	0.16201522243753047	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	0	9	0.0	0.440559	0.642428	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Response to TNF inhibitor in rheumatoid arthritis  change in swollen 28 joint count	False	0.6886281588447654	1.0	0.3010299956639812	0.16201522243753047	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	7	62	0.112903	7.18282	2.3903	-0.0764829	0.974548	0.530483	Null_Model_GWAS_SNP_SNPmatch	Glomerular filtration rate  creatinine	False	0.7113506660808436	1.0	0.2753285290566838	0.14791625749687454	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	0	7	0.0	0.685315	0.7549	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Local histogram emphysema pattern	False	0.6886281588447654	1.0	0.3010299956639812	0.16201522243753047	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	8	80	0.1	10.1918	2.70281	-0.810937	0.784944	0.791299	Null_Model_GWAS_SNP_SNPmatch	Smoking cessation  MTAG	False	0.8839840951683748	1.0	0.10165938310953906	0.05355554883619113	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	2	5	0.4	0.285714	0.516029	3.32207	7.0	0.000446755	Null_Model_GWAS_SNP_SNPmatch	Iron status biomarkers  iron levels	True	0.007574979222222222	0.340874065	3.349930578250951	2.1206185540714144	0.4674060402960709
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	0	14	0.0	1.17183	0.998221	0.0	0.0	0.5	Null_Model_GWAS_SNP_SNPmatch	Prostate specific antigen levels  conditioned on lead SNPs	False	0.6886281588447654	1.0	0.3010299956639812	0.16201522243753047	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	5	22	0.227273	3.3956	1.64844	0.973284	1.47249	0.165206	Null_Model_GWAS_SNP_SNPmatch	Chronic obstructive pulmonary disease or high blood pressure  pleiotropy	False	0.6599590471204188	1.0	0.7819741838947386	0.18048301318758575	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	31	544	0.0569853	52.7173	6.32479	-3.43368	0.588042	0.999702	Null_Model_GWAS_SNP_SNPmatch	Self reported math ability	False	0.999999	1.0	0.00012943904298261716	4.34294699063126e-07	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	1	16	0.0625	1.63536	1.15668	-0.5493	0.611484	0.7086	Null_Model_GWAS_SNP_SNPmatch	Carpal tunnel syndrome	False	0.8272067978723403	1.0	0.14959885200284156	0.0823859052628076	-0.0
CD4_1M_50K_5kb_within_newbmap_CHiCAGO_ABC_peakm_PIR_intersect_RE	20	217	0.0921659	24.7802	4.37466	-1.09271	0.807095	0.862739	Null_Model_GWAS_SNP_SNPmatch	Cognitive performance	False	0.9301810593220339	1.0	0.0641205692949582	0.03143250799336094	-0.0
