ILC3_H3K27ac_count_bins	Gene_Name	Mean_Gene_Expression
0	A1BG	474.0
0	A1CF	5.166666666666667
0	A2ML1	68.83333333333333
0	A2MP1	4.833333333333333
0	A4GALT	118.83333333333333
0	AACS	948.8333333333334
0	AADAT	3.6666666666666665
0	AAGAB	1824.1666666666667
0	AARD	81.83333333333333
0	AARS2	349.1666666666667
0	AATK	18.666666666666668
0	ABAT	285.0
0	ABCA13	57.166666666666664
0	ABCA2	268.6666666666667
0	ABCA3	45.166666666666664
0	ABCA8	38.333333333333336
0	ABCB1	3188.5
0	ABCB11	34.0
0	ABCB4	3.8333333333333335
0	ABCB6	32.166666666666664
0	ABCB9	250.0
0	ABCC10	1402.5
0	ABCC11	28.0
0	ABCC13	7.0
0	ABCC2	59.5
0	ABCC3	132.5
0	ABCC5	647.5
0	ABCC6	145.83333333333334
0	ABCC8	31.333333333333332
0	ABCC9	185.33333333333334
0	ABCD2	106.0
0	ABCD3	434.0
0	ABCF1	2799.0
0	ABCF3	1657.3333333333333
0	ABCG2	291.0
0	ABHD11-AS1	1.0
0	ABHD12	68.83333333333333
0	ABHD12B	66.5
0	ABHD16A	1019.3333333333334
0	ABI3BP	43.333333333333336
0	ABL1	268.0
0	ABLIM3	19.5
0	ABR	620.5
0	ABRA	41.0
0	ACAA1	529.5
0	ACAA2	1383.8333333333333
0	ACACA	327.6666666666667
0	ACACB	520.3333333333334
0	ACADL	4.5
0	ACADM	1380.3333333333333
0	ACAP1	4487.666666666667
0	ACAP2	885.8333333333334
0	ACBD4	147.33333333333334
0	ACBD5	648.5
0	ACCS	583.6666666666666
0	ACD	683.3333333333334
0	ACE	38.166666666666664
0	ACE2	4.666666666666667
0	ACKR2	208.0
0	ACO1	839.1666666666666
0	ACOT11	480.3333333333333
0	ACOT2	273.5
0	ACOT4	25.833333333333332
0	ACOT9	1456.3333333333333
0	ACOX1	1926.5
0	ACOX2	1.5
0	ACOX3	342.5
0	ACOXL	43.166666666666664
0	ACP5	137.83333333333334
0	ACSBG1	126.66666666666667
0	ACSBG2	2.1666666666666665
0	ACSF2	99.33333333333333
0	ACSF3	683.0
0	ACSL1	251.5
0	ACSM2B	85.66666666666667
0	ACSS3	4.333333333333333
0	ACTA1	4.0
0	ACTA2	136.5
0	ACTC1	2.1666666666666665
0	ACTG1	23252.166666666668
